Customer name,customer_phone_number,Address,Date,Time,Total amount,User
poli askjfda,1234567890,dsfjfnlsd,2023-02-02,13:12:19,12.0,alex
alex liak,6987654321,kolonou,2023-02-02,13:21:59,1.0,alex
lk lk,1209876543,lk,2023-02-02,13:23:34,1.0,alex
lk lk,1209876543,lk,2023-02-02,13:23:34,1.0,alex
alex pavlos,0987654321,han,2023-02-02,14:18:05,123.0,alex
alex pavlos,1234567890,han,2023-02-02,14:18:36,1.0,alex
alex pavlos,1234567890,han,2023-02-02,14:18:36,1.0,alex
pavlos alex,6983456876,joy,2023-02-02,14:18:50,34.0,alex
mairi panou,6987654321,gioti,2023-02-02,14:23:25,143.0,alex
mairi feka,1234560987,panou,2023-02-02,14:24:00,123.0,alex
mairi feka,1234560987,panou,2023-02-02,14:24:00,123.0,alex
nikos fekas,6973465879,kiprou,2023-02-02,14:24:50,143.0,alex
alekos poulos,6988888888,poulou,2023-02-02,14:40:54,1.0,alex
panos groumoutis,6975432765,panagitsas,2023-02-02,14:48:17,12.65,alex
vasilis krassas,6987654098,igiou,2023-02-02,14:53:11,12.87,alex
popi paparidou,6969696969,filis,2023-02-02,15:04:21,69.0,alex
fotis kremastos,6906901314,agioup,2023-02-02,15:06:57,13.99,alex
